t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.4620253164556962,0.10253164556962026,1,1,90,-8.437694987151153e-15,0.6598240975773025
-1.4620253164556962,0.11392405063291139,1,1,91,-2.8865798640254027e-15,0.6247262923935233
-1.4620253164556962,0.12531645569620253,1,1,92,-3.774758283725525e-15,0.5887017566638678
-1.4620253164556962,0.13670886075949368,1,1,93,-4.218847493575586e-15,0.5517746853895468
-1.4620253164556962,0.14810126582278482,1,1,94,-3.330669073875464e-15,0.5139749165165448
-1.4620253164556962,0.15949367088607594,1,1,95,-5.995204332975827e-15,0.4753379883201195
-1.4620253164556962,0.17088607594936708,1,1,96,-5.7731597280507974e-15,0.4359050845608906
-1.4620253164556962,0.18227848101265823,1,1,97,-4.218847493575586e-15,0.39572274881426983
-1.4620253164556962,0.19367088607594937,1,1,98,-3.330669073875464e-15,0.3548419321134482
-1.4620253164556962,0.20506329113924052,1,1,99,-3.996802888650556e-15,0.3133147894495039
-1.4620253164556962,0.21645569620253163,1,1,100,-2.2204460492503107e-15,0.27118360087350357
-1.4620253164556962,0.22784810126582278,1,1,101,-9.32587340685127e-15,0.22844244428656924
-1.4620253164556962,0.23924050632911392,1,1,102,-1.1102230246251504e-14,0.18490627001286294
-1.4620253164556962,0.25063291139240507,1,1,103,-3.774758283725525e-15,0.13975338317392888
-1.4620253164556962,0.2620253164556962,1,1,104,-2.664535259100372e-15,0.0895366558802881
-1.4620253164556962,0.27341772151898736,1,1,105,-5.551115123125767e-15,3.774758283725461e-14
-1.4620253164556962,0.2848101265822785,1,1,106,-4.6629367034256464e-15,3.5527136788004946e-15
-1.4620253164556962,0.29620253164556964,0,0,107,-5.107025913275707e-15,4.440892098500617e-15
-1.4620253164556962,0.30759493670886073,0,0,108,-6.4392935428258874e-15,4.440892098500617e-15
-1.4620253164556962,0.3189873417721519,0,0,109,-4.884981308350677e-15,5.107025913275707e-15
-1.4620253164556962,0.330379746835443,0,0,110,-2.664535259100372e-15,7.549516567451036e-15
-1.4620253164556962,0.34177215189873417,0,0,111,-4.440892098500617e-15,3.5527136788004946e-15
-1.4620253164556962,0.3531645569620253,0,0,112,-2.2204460492503107e-15,7.105427357600977e-15
-1.4620253164556962,0.36455696202531646,0,0,113,-2.4424906541753412e-15,4.884981308350677e-15
-1.4620253164556962,0.3759493670886076,0,0,114,-5.551115123125767e-15,2.664535259100372e-15
-1.4620253164556962,0.38734177215189874,0,0,115,-7.105427357600977e-15,9.992007221626358e-15
-1.4620253164556962,0.3987341772151899,0,0,116,-2.664535259100372e-15,3.1086244689504336e-15
-1.4620253164556962,0.41012658227848103,0,0,117,-8.659739592076183e-15,2.2204460492503107e-15
-1.4620253164556962,0.4215189873417722,0,0,118,-3.330669073875464e-15,6.4392935428258874e-15
-1.4620253164556962,0.43291139240506327,0,0,119,-2.2204460492503107e-15,9.32587340685127e-15
-1.4620253164556962,0.4443037974683544,0,0,120,-5.107025913275707e-15,5.107025913275707e-15
-1.4620253164556962,0.45569620253164556,0,0,121,-2.8865798640254027e-15,7.771561172376066e-15
-1.4620253164556962,0.4670886075949367,0,0,122,-6.4392935428258874e-15,1.1324274851176532e-14
-1.4620253164556962,0.47848101265822784,0,0,123,-1.5987211554602128e-14,5.107025913275707e-15
-1.4620253164556962,0.489873417721519,0,0,124,-5.995204332975827e-15,3.1086244689504336e-15
-1.4620253164556962,0.5012658227848101,0,0,125,-2.664535259100372e-15,5.107025913275707e-15
