t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.4240506329113924,0.07974683544303797,1,1,168,-0.8159715985898902,0.07341459449574403
-1.4240506329113924,0.09113924050632911,1,1,169,-0.7780555514753765,0.07026512662719997
-1.4240506329113924,0.10253164556962026,1,1,170,-0.739270842536768,0.066797645054992
-1.4240506329113924,0.11392405063291139,1,1,171,-0.6997081499981633,0.06313048065611934
-1.4240506329113924,0.12531645569620253,1,1,172,-0.6594584078363912,0.06109631115533939
-1.4240506329113924,0.13670886075949368,1,1,173,-0.6186104355540424,0.0676320109741056
-1.4240506329113924,0.14810126582278482,1,1,174,-0.5772492007821287,0.05585685980120965
-1.4240506329113924,0.15949367088607594,1,1,175,-0.535454760954534,0.04835202462898446
-1.4240506329113924,0.17088607594936708,1,1,176,-0.4933018419738392,0.04620649016448378
-1.4240506329113924,0.18227848101265823,1,1,177,-0.4508599221652506,0.04455390767075711
-1.4240506329113924,0.19367088607594937,1,1,178,-0.4081936804677019,0.04226438842436684
-1.4240506329113924,0.20506329113924052,1,1,179,-0.3653644816905984,0.03983050886058848
-1.4240506329113924,0.21645569620253163,1,1,180,-0.3224378481223869,0.03930976767476871
-1.4240506329113924,0.22784810126582278,1,1,181,-0.2795100255852383,0.04342479209708758
-1.4240506329113924,0.23924050632911392,1,1,182,-0.2367375749707724,0.03650411440515324
-1.4240506329113924,0.25063291139240507,1,1,183,-0.19414429516828086,0.03590978739737623
-1.4240506329113924,0.2620253164556962,1,1,184,-0.15072486428412468,0.03446457146228892
-1.4240506329113924,0.27341772151898736,1,1,185,-0.10245767986187336,0.031283908733268195
-1.4240506329113924,0.2848101265822785,1,1,186,-0.03601813242811962,0.03055086635846904
-1.4240506329113924,0.29620253164556964,1,1,187,-0.03413542116488399,0.036618841167039146
-1.4240506329113924,0.30759493670886073,0,0,188,-0.03467191337316513,0.03752116703084544
-1.4240506329113924,0.3189873417721519,0,0,189,-0.03241586263329876,0.023190607097376466
-1.4240506329113924,0.330379746835443,0,0,190,-0.031843678442056614,0.018067594216377544
-1.4240506329113924,0.34177215189873417,0,0,191,-0.032429167288249426,0.022500176659554876
-1.4240506329113924,0.3531645569620253,0,0,192,-0.03472983801937125,0.029103828917310753
-1.4240506329113924,0.36455696202531646,0,0,193,-0.03684296748133647,0.03548774259161601
-1.4240506329113924,0.3759493670886076,0,0,194,-0.03806425925402686,0.03874244556151524
-1.4240506329113924,0.38734177215189874,0,0,195,-0.03982565718504828,0.07163566711852593
-1.4240506329113924,0.3987341772151899,0,0,196,-0.03990219165737189,0.06706267596079694
-1.4240506329113924,0.41012658227848103,0,0,197,-0.03952699167060455,0.05449965946142049
-1.4240506329113924,0.4215189873417722,0,0,198,-0.04105693421988081,0.04478403882066118
-1.4240506329113924,0.43291139240506327,0,0,199,-0.04032818504940075,0.04641481156026197
-1.4240506329113924,0.4443037974683544,0,0,200,-0.039367467879648496,0.048092074787884874
-1.4240506329113924,0.45569620253164556,0,0,201,-0.04059071435024377,0.04984923408752913
-1.4240506329113924,0.4670886075949367,0,0,202,-0.0388393929028473,0.05170593925657915
-1.4240506329113924,0.47848101265822784,0,0,203,-0.03634295558630983,0.05387103040516174
-1.4240506329113924,0.489873417721519,0,0,204,-0.03784147947685223,0.05666309090511945
-1.4240506329113924,0.5012658227848101,0,0,205,-0.044551588342615175,0.059615516716616586
-1.4240506329113924,0.5126582278481012,0,0,206,-0.055558771936958316,0.06248470685180711
-1.4240506329113924,0.5240506329113924,0,0,207,-0.03989866721800731,0.06476348960855902
-1.4240506329113924,0.5354430379746835,0,0,208,-0.04326289896413487,0.06569139052925138
-1.4240506329113924,0.5468354430379747,0,0,209,-0.0480427424713241,0.06679337032610917
-1.4240506329113924,0.5582278481012658,0,0,210,-0.06479540582359763,0.06691650682319898
-1.4240506329113924,0.569620253164557,0,0,211,-0.051359858707858676,0.06596668439098154
-1.4240506329113924,0.5810126582278481,0,0,212,-0.04035512178168171,0.0650901714113747
-1.4240506329113924,0.5924050632911393,0,0,213,-0.033360998445246745,0.06566281823476758
-1.4240506329113924,0.6037974683544304,0,0,214,-0.029150994524144262,0.0686257909919444
-1.4240506329113924,0.6151898734177215,0,0,215,-0.025879881149833986,0.07507277746069163
-1.4240506329113924,0.6265822784810127,0,0,216,-0.023421772623780153,0.09051389581373046
-1.4240506329113924,0.6379746835443038,0,0,217,-0.021558448043607202,0.08514254515496901
-1.4240506329113924,0.649367088607595,0,0,218,-0.020085147768164998,0.06781624056361511
-1.4240506329113924,0.660759493670886,0,0,219,-0.01877787301531206,0.05649564286018777
-1.4240506329113924,0.6721518987341772,0,0,220,-0.017439125826268227,0.04875782388593
-1.4240506329113924,0.6835443037974683,0,0,221,-0.016012511566338282,0.043322809546130936
-1.4240506329113924,0.6949367088607595,0,0,222,-0.014424128611853219,0.03923608054880413
-1.4240506329113924,0.7063291139240506,0,0,223,-0.012703948025451398,0.035948600435954284
-1.4240506329113924,0.7177215189873418,0,0,224,-0.011101374146025179,0.03314628743586452
-1.4240506329113924,0.7291139240506329,0,0,225,-0.009607351357945097,0.030866504234787855
